parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
endurance_min,60,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415533,14.335468327988753,2,0.06541013717651367
endurance_min,60,6.20.1,3,20.0,1,4.99859282368812,3.6473085919654666,27.033292756292816,3,0.07830405235290527
endurance_min,60,6.20.2,3,20.0,2,5.0202958448074755,3.862511076180345,23.0620824831396,2,0.05823493003845215
endurance_min,60,6.20.3,3,20.0,3,4.166688353295826,3.5693740640831066,14.335468327988753,2,0.06451678276062012
endurance_min,60,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,0.4887387752532959
endurance_min,60,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.20069408416748047
endurance_min,60,8.5.3,4,5.0,3,1.3016597655321156,1.0391321649805167,20.168680595599277,3,0.5895628929138184
endurance_min,60,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.40824007987976074
endurance_min,60,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.34496307373046875
endurance_min,60,8.10.3,4,10.0,3,2.603319531064231,2.0782643299610335,20.168680595599277,3,0.3900179862976074
endurance_min,60,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.45979905128479004
endurance_min,60,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.2309880256652832
endurance_min,60,8.20.3,4,20.0,3,5.206639062128462,4.156528659922067,20.168680595599277,3,0.3942599296569824
