parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
alpha,1.0,6.20.1,3,20.0,1,4.99859282368812,4.99859282368812,0.0,0,0.06177258491516113
alpha,1.0,6.20.2,3,20.0,2,5.0202958448074755,5.0202958448074755,0.0,0,0.20071792602539062
alpha,1.0,6.20.3,3,20.0,3,4.166688353295826,4.166688353295826,0.0,0,0.07415056228637695
alpha,1.0,8.5.1,4,5.0,1,1.4104459642899232,1.4104459642899232,0.0,0,1.0348913669586182
alpha,1.0,8.5.2,4,5.0,2,1.1918180699031642,1.1918180699031642,0.0,0,0.3796415328979492
alpha,1.0,8.5.3,4,5.0,3,1.3016597655321154,1.3016597655321154,0.0,0,0.29342103004455566
alpha,1.0,8.10.1,4,10.0,1,2.8208919285798464,2.8208919285798464,0.0,0,1.209852933883667
alpha,1.0,8.10.2,4,10.0,2,2.3836361398063284,2.3836361398063284,0.0,0,0.4444913864135742
alpha,1.0,8.10.3,4,10.0,3,2.6033195310642308,2.6033195310642308,0.0,0,0.2849423885345459
alpha,1.0,8.20.1,4,20.0,1,5.641783857159693,5.641783857159693,0.0,0,1.1651451587677002
alpha,1.0,8.20.2,4,20.0,2,4.767272279612657,4.767272279612657,0.0,0,0.2558722496032715
alpha,1.0,8.20.3,4,20.0,3,5.2066390621284615,5.2066390621284615,0.0,0,0.23700904846191406
