parameter,value,instance,n,grid,seed,z_pdp,z_dapdp,spdp_pct,n_sorties,runtime_s
drone_speed_mph,75,6.10.2,3,10.0,2,2.5101479224037377,1.9312555380901721,23.062082483139623,2,0.17045879364013672
drone_speed_mph,75,6.10.3,3,10.0,3,2.083344176647913,1.7846870320415529,14.335468327988776,2,0.10681009292602539
drone_speed_mph,75,6.20.1,3,20.0,1,4.99859282368812,3.6473085919654666,27.033292756292816,3,0.3012101650238037
drone_speed_mph,75,6.20.2,3,20.0,2,5.0202958448074755,3.8625110761803443,23.062082483139623,2,0.18447041511535645
drone_speed_mph,75,6.20.3,3,20.0,3,4.166688353295826,3.5693740640831058,14.335468327988776,2,0.11419248580932617
drone_speed_mph,75,8.5.1,4,5.0,1,1.4104459642899232,1.1242581213633507,20.29059249147849,3,1.1981682777404785
drone_speed_mph,75,8.5.2,4,5.0,2,1.1918180699031642,1.177071572915857,1.2373110762203376,1,0.381880521774292
drone_speed_mph,75,8.5.3,4,5.0,3,1.3016597655321154,1.0391321649805167,20.168680595599263,3,1.2086315155029297
drone_speed_mph,75,8.10.1,4,10.0,1,2.8208919285798464,2.2485162427267014,20.29059249147849,3,0.883448600769043
drone_speed_mph,75,8.10.2,4,10.0,2,2.3836361398063284,2.354143145831714,1.2373110762203376,1,0.42826128005981445
drone_speed_mph,75,8.10.3,4,10.0,3,2.6033195310642308,2.0782643299610335,20.168680595599263,3,1.2145967483520508
drone_speed_mph,75,8.20.1,4,20.0,1,5.641783857159693,4.497032485453403,20.29059249147849,3,0.8937845230102539
drone_speed_mph,75,8.20.2,4,20.0,2,4.767272279612657,4.708286291663428,1.2373110762203376,1,0.4877045154571533
drone_speed_mph,75,8.20.3,4,20.0,3,5.2066390621284615,4.156528659922067,20.168680595599263,3,0.7001934051513672
